step,loss,lr,norm,dt_ms,tok_sec
325,19.742159,0.000582,2.056988,22.483459,5693.074219
326,18.475712,0.000581,1.892069,24.584295,5206.576172
327,19.450556,0.000581,1.958149,22.005602,5816.700684
328,18.363661,0.000581,2.543957,23.356243,5480.333008
329,18.027248,0.000581,2.000266,23.031750,5557.545898
330,18.285206,0.000581,1.882583,22.764351,5622.826660
331,19.098757,0.000581,1.928181,23.535633,5438.562012
332,18.937052,0.000580,2.025880,25.096771,5100.257812
333,19.168182,0.000580,2.102184,22.611368,5660.869141
334,18.717150,0.000580,2.142907,23.304037,5492.610352
335,19.137913,0.000580,1.977916,23.409203,5467.935059
336,20.998831,0.000580,2.491513,23.295685,5494.579590
337,19.744513,0.000580,2.221037,23.151173,5528.877441
338,21.087944,0.000579,2.610386,22.940687,5579.605957
339,19.109064,0.000579,2.162503,22.790852,5616.288574
340,18.989956,0.000579,2.000303,24.441696,5236.952148
341,18.600679,0.000579,1.971979,22.433889,5705.653320
342,18.459911,0.000579,1.862941,23.926683,5349.675781
343,18.277937,0.000578,2.039750,22.729996,5631.325195
344,17.246357,0.000578,1.950437,22.483900,5692.962402
345,18.316380,0.000578,1.942038,24.877129,5145.288086
346,18.644884,0.000578,1.964177,21.849186,5858.341797
347,17.948637,0.000578,1.881887,23.962023,5341.786133
348,17.497753,0.000578,1.793217,24.861507,5148.521484
349,18.300629,0.000577,1.949301,22.366308,5722.893555
350,18.224617,0.000577,2.052376,22.816872,5609.883789
351,17.885382,0.000577,1.832539,22.454699,5700.366211
352,17.759689,0.000577,1.936084,23.989325,5335.706543
353,19.304005,0.000577,2.243356,23.076809,5546.694336
354,20.337606,0.000577,3.108130,22.271276,5747.312988
355,18.485987,0.000576,2.041300,24.174446,5294.847168
356,19.783480,0.000576,2.056240,26.067120,4910.400879
357,20.021332,0.000576,1.961160,22.609703,5661.286133
358,20.443457,0.000576,1.975551,23.922268,5350.663086
359,18.709785,0.000576,1.896387,23.278463,5498.644531
360,19.503712,0.000575,2.008305,22.674051,5645.219238
361,20.378822,0.000575,1.953928,23.674299,5406.707031
362,19.650646,0.000575,2.070421,23.756720,5387.949219
363,19.083393,0.000575,2.121648,23.325436,5487.571777
364,18.574736,0.000575,2.157692,25.955214,4931.571777
365,18.310221,0.000574,1.836619,23.212080,5514.370117
366,18.589247,0.000574,2.252937,25.660822,4988.148926
367,18.327143,0.000574,1.872877,22.751812,5625.925781
368,18.741877,0.000574,1.936647,25.161968,5087.042480
369,18.469261,0.000574,2.037464,23.334974,5485.328613
370,19.383600,0.000574,1.998280,24.658781,5190.848633
371,17.770508,0.000573,1.743816,22.455896,5700.061523
372,18.255381,0.000573,1.909698,25.321053,5055.082031
373,18.087999,0.000573,1.753383,22.797888,5614.555176
374,17.514975,0.000573,2.005004,24.819134,5157.311523
375,16.886879,0.000573,1.959338,23.714355,5397.574219
376,16.514563,0.000572,1.844040,22.947762,5577.885742
377,18.365967,0.000572,1.928603,25.159145,5087.613281
378,17.872080,0.000572,1.783054,21.848040,5858.649414
379,18.074028,0.000572,1.883190,24.022104,5328.425781
380,18.013811,0.000572,1.810249,24.258844,5276.426270
381,17.969967,0.000571,1.899606,23.806986,5376.573242
382,17.569101,0.000571,1.850082,24.540972,5215.767578
383,18.421431,0.000571,1.795324,23.268097,5501.094727
384,18.683254,0.000571,1.802661,23.541115,5437.295410
385,19.164602,0.000571,1.842950,24.307884,5265.781250
386,17.474316,0.000570,1.707563,23.803469,5377.367676
387,18.198883,0.000570,2.060816,22.718155,5634.260254
388,18.260178,0.000570,1.907683,25.608635,4998.313965
389,17.960152,0.000570,1.790560,23.110064,5538.712402
390,19.157295,0.000570,1.931633,25.574375,5005.009766
391,17.577328,0.000569,1.807321,22.512482,5685.734375
392,19.194489,0.000569,2.041046,23.876268,5360.971680
393,19.242506,0.000569,2.127592,24.402584,5245.346191
394,18.141041,0.000569,1.709803,23.205036,5516.043945
395,17.552519,0.000569,1.841826,23.516928,5442.888184
396,16.655436,0.000568,1.756294,23.881050,5359.898438
397,17.165220,0.000568,1.913769,23.015141,5561.556641
398,17.324003,0.000568,2.041897,23.282349,5497.727051
399,18.096125,0.000568,1.765365,23.912527,5352.842773
400,18.463520,0.000567,1.933237,22.854296,5600.697266
401,18.096691,0.000567,2.004950,24.041452,5324.137695
402,18.746828,0.000567,2.202977,24.545567,5214.791016
403,20.301723,0.000567,2.028745,22.618877,5658.990234
404,19.432459,0.000567,1.898512,24.788486,5163.687500
405,19.047077,0.000566,1.910712,23.131077,5533.681152
406,18.564266,0.000566,1.841354,25.727097,4975.298828
407,18.403318,0.000566,1.782670,21.098640,6066.741699
