step,loss,val_loss,lr,norm,dt_ms,tok_sec
373,10.355505,10.906229,0.000023,1.246119,503.444580,16271.901367
374,10.284829,10.906229,0.000023,1.320862,498.207855,16442.935547
375,10.305635,10.906229,0.000023,1.285348,489.253754,16743.867188
376,10.348488,10.906229,0.000024,1.178066,489.252655,16743.904297
377,10.273218,10.906229,0.000024,1.245343,490.430634,16703.687500
378,10.303357,10.906229,0.000024,1.313654,502.568573,16300.262695
379,10.311249,10.906229,0.000024,1.179568,502.834137,16291.654297
380,10.289509,10.906229,0.000024,1.256377,502.630066,16298.269531
381,10.325338,10.906229,0.000024,1.209288,495.897827,16519.531250
382,10.336552,10.906229,0.000024,1.309845,495.769562,16523.806641
383,10.319354,10.906229,0.000024,1.362461,496.208649,16509.185547
384,10.208295,10.906229,0.000024,1.251494,500.178345,16378.158203
385,10.272079,10.906229,0.000024,1.228168,494.843048,16554.744141
386,10.251987,10.906229,0.000024,1.266515,490.519531,16700.660156
387,10.160556,10.906229,0.000024,1.307671,495.218781,16542.183594
388,10.158794,10.906229,0.000024,1.373199,496.737122,16491.621094
389,10.230802,10.906229,0.000024,1.400306,487.745667,16795.638672
390,10.256614,10.906229,0.000024,1.369089,488.047302,16785.257812
391,10.199100,10.906229,0.000024,1.296936,495.093781,16546.359375
392,10.132267,10.906229,0.000025,1.259430,487.298126,16811.064453
393,10.423691,10.906229,0.000025,1.271479,490.083160,16715.531250
394,10.378692,10.906229,0.000025,1.282840,495.276428,16540.257812
395,10.383231,10.906229,0.000025,1.318725,502.055084,16316.933594
396,10.330723,10.906229,0.000025,1.196962,497.620361,16462.347656
397,10.246946,10.906229,0.000025,1.126855,485.398712,16876.847656
398,10.161407,10.906229,0.000025,1.393727,488.757294,16760.875000
399,9.978687,10.906229,0.000025,1.476767,489.052856,16750.746094
400,10.014306,10.121448,0.000025,1.407484,3942.316406,2077.966309
401,10.075445,10.121448,0.000025,1.262951,496.824860,16488.707031
402,10.003755,10.121448,0.000025,1.443774,502.450439,16304.094727
403,10.106207,10.121448,0.000025,1.223631,505.232086,16214.330078
404,10.008748,10.121448,0.000025,1.374758,503.011200,16285.918945
405,10.119191,10.121448,0.000025,1.243448,492.233795,16642.498047
406,10.115566,10.121448,0.000025,1.181636,488.257172,16778.042969
407,10.083836,10.121448,0.000025,1.213936,495.621460,16528.742188
408,9.997346,10.121448,0.000025,1.291517,488.021851,16786.132812
409,9.985513,10.121448,0.000026,1.259766,497.478210,16467.052734
410,9.825900,10.121448,0.000026,1.581315,496.819305,16488.892578
411,9.760287,10.121448,0.000026,1.680998,490.480316,16701.996094
412,9.972671,10.121448,0.000026,1.277186,489.544159,16733.935547
413,9.968007,10.121448,0.000026,1.289521,489.351807,16740.511719
414,10.016644,10.121448,0.000026,1.224294,489.517609,16734.841797
415,9.980384,10.121448,0.000026,1.276716,495.504852,16532.632812
416,9.957716,10.121448,0.000026,1.281394,501.956116,16320.152344
417,9.951497,10.121448,0.000026,1.311018,492.515442,16632.980469
418,10.013169,10.121448,0.000026,1.246862,493.869965,16587.363281
419,9.947133,10.121448,0.000026,1.252135,500.606598,16364.147461
420,10.006037,10.121448,0.000026,1.160236,501.674805,16329.302734
