Step    Loss           Time (ms)         Tokens/sec          
428     7.521577       12212             655.09              
429     7.524261       12173             657.19              
430     7.541258       11943             669.85              
431     7.525784       12209             655.25              
432     7.539305       12111             660.56              
433     7.521734       12058             663.46              
434     7.517484       12234             653.92              
435     7.522514       12131             659.47              
436     7.509944       12026             665.23              
437     7.491954       12208             655.31              
438     7.518105       11924             670.92              
439     7.535954       12250             653.06              
440     7.500387       12248             653.17              
441     7.533757       11932             670.47              
442     7.517611       12210             655.20              
443     7.493457       12232             654.02              
444     7.524161       11954             669.23              
445     7.517317       12228             654.24              
446     7.523179       12177             656.98              
447     7.516972       11925             670.86              
448     7.524480       12229             654.18              
449     7.520587       12225             654.40              
450     7.520277       11954             669.23              
451     7.513320       12214             654.99              
452     7.513464       12220             654.66              
453     7.500782       11943             669.85              
454     7.531300       12194             656.06              
455     7.517123       12249             653.11              
456     7.539501       11922             671.03              
457     7.540997       12240             653.59              
458     7.518326       12194             656.06              
459     7.521089       11948             669.57              
460     7.505218       12211             655.15              
461     7.511740       12244             653.38              
462     7.521126       11956             669.12              
463     7.504949       12208             655.31              
464     7.512239       12239             653.65              
465     7.505370       11963             668.73              
466     7.512723       12218             654.77              
467     7.508054       12235             653.86              
468     7.510797       11958             669.01              
469     7.504624       12190             656.28              
470     7.542614       12146             658.65              
471     7.538317       12028             665.11              
472     7.537849       12198             655.85              
473     7.523523       12103             660.99              
474     7.522437       12073             662.64              
475     7.544842       12225             654.40              
476     7.519895       11929             670.63              
477     7.536293       12194             656.06              
478     7.532224       12222             654.56              
479     7.520960       11917             671.31              
480     7.507135       12197             655.90              
481     7.532048       12202             655.63              
482     7.537724       11929             670.63              
483     7.517648       12232             654.02              
484     7.520351       12239             653.65              
485     7.525019       11917             671.31              
486     7.505980       12235             653.86              
487     7.503586       12221             654.61              
488     7.516982       11930             670.58              
489     7.527315       12231             654.08              
490     7.526047       12214             654.99              
491     7.521558       11955             669.18              
492     7.515436       12235             653.86              
493     7.515289       12230             654.13              
494     7.519020       11945             669.74              
495     7.526914       12258             652.64              
496     7.524105       12236             653.81              
497     7.537166       11911             671.65              
498     7.522618       12231             654.08              
499     7.509474       12234             653.92              
500     7.530046       11911             671.65              
501     7.521037       12247             653.22              
502     7.551377       12240             653.59              
503     7.520452       11919             671.20              
504     7.528317       12236             653.81              
505     7.515585       12213             655.04              
506     7.525467       11954             669.23              
507     7.508994       12232             654.02              
508     7.513455       12218             654.77              
509     7.517144       11930             670.58              
510     7.509868       12188             656.38              
511     7.511288       12118             660.17              
512     7.501981       12058             663.46              
513     7.498740       12205             655.47              
514     7.504878       12150             658.44              
515     7.519946       12054             663.68              
516     7.506407       12230             654.13              
517     7.500721       11926             670.80              
518     7.523888       12206             655.42              
519     7.526364       12207             655.36              
520     7.512781       11940             670.02              
521     7.532685       12248             653.17              
522     7.514297       12244             653.38              
523     7.515645       12548             637.55              
524     7.514246       11710             683.18              
525     7.518784       12209             655.25              
526     7.525819       11940             670.02              
527     7.525397       12125             659.79              
528     7.506459       12050             663.90              
529     7.528307       12202             655.63              
530     7.517393       12115             660.34              
531     7.514015       12013             665.95              
532     7.503311       12198             655.85              
533     7.524192       11925             670.86              
534     7.512638       12226             654.34              
535     7.524858       12254             652.85              
536     7.516889       11926             670.80              
537     7.513332       12206             655.42              
538     7.512000       12203             655.58              
539     7.517281       11951             669.40              
540     7.516785       12220             654.66              
541     7.499066       12201             655.68              
542     7.508471       12081             662.20              
543     7.531691       12393             645.53              
544     7.550651       11965             668.62              
545     7.529284       11950             669.46              
546     7.511705       12088             661.81              
