step,loss,lr,norm,dt_ms,tok_sec
348,6.965067,0.000997,0.507857,1096.206299,7473.045898
349,7.171939,0.000997,0.567042,1087.470215,7533.080078
350,6.946772,0.000997,0.538065,1089.365967,7519.970703
351,6.791967,0.000997,0.582260,1092.954224,7495.281738
352,6.809925,0.000997,0.644706,1092.851074,7495.989746
353,7.382043,0.000997,0.848520,1092.192749,7500.507324
354,7.319118,0.000997,0.986928,1094.480225,7484.831055
355,7.135128,0.000997,0.657613,1096.354126,7472.038086
356,7.521316,0.000997,0.656618,1078.170776,7598.054199
357,6.797745,0.000997,0.423877,1074.627441,7623.107422
358,6.916936,0.000997,0.574342,1092.042603,7501.539062
359,6.735710,0.000997,0.561113,1100.243652,7445.623047
360,6.666062,0.000997,0.523522,1086.492432,7539.859375
361,6.724397,0.000997,0.558695,1095.561890,7477.441895
362,6.742329,0.000997,0.624108,1095.878296,7475.283203
363,7.268272,0.000997,0.618461,1095.113403,7480.503906
364,6.688402,0.000997,0.518305,1100.005005,7447.238770
365,7.562338,0.000997,0.718553,1097.821289,7462.052734
366,8.239914,0.000997,1.467364,1090.459106,7512.432129
367,7.291282,0.000997,0.609692,1081.171143,7576.968750
368,7.120306,0.000997,0.572954,1090.397827,7512.854004
369,7.357550,0.000997,0.488979,1085.562256,7546.319824
370,6.987978,0.000997,0.558040,1087.999634,7529.414551
371,7.120423,0.000997,0.622950,1081.346680,7575.739258
372,7.344641,0.000997,0.497071,1086.704468,7538.387695
373,6.887167,0.000997,0.512399,1078.303101,7597.121582
374,6.872511,0.000997,0.586185,1086.117432,7542.462891
375,7.194508,0.000997,0.667909,1095.545044,7477.556641
376,6.962461,0.000997,0.478061,1092.502197,7498.382812
377,6.842628,0.000997,0.481210,1090.244873,7513.908203
378,6.795205,0.000997,0.597706,1095.298828,7479.236816
379,6.909509,0.000997,0.417017,1083.342896,7561.779297
380,7.116302,0.000997,0.466451,1089.635742,7518.108887
381,6.981293,0.000997,0.464511,1093.617310,7490.737305
382,7.327075,0.000997,0.576727,1090.873047,7509.581543
383,7.592014,0.000997,0.770336,1091.098633,7508.028809
384,7.127264,0.000997,0.690044,1088.613403,7525.169434
385,7.057098,0.000997,0.510985,1070.754272,7650.681641
386,6.675175,0.000997,0.568183,1090.660278,7511.045898
387,7.167522,0.000997,0.664558,1090.657715,7511.063965
388,7.389099,0.000997,0.664248,1084.132446,7556.272461
389,6.662361,0.000997,0.776517,1086.059448,7542.865234
390,6.927939,0.000997,0.994466,1077.253906,7604.520996
391,7.109752,0.000997,0.584776,1082.944458,7564.561035
392,6.937621,0.000997,0.617825,1095.977905,7474.603027
393,6.683349,0.000997,0.603837,1085.662598,7545.622559
394,6.817813,0.000997,0.540153,1078.271362,7597.345215
395,6.971588,0.000997,0.508028,1088.233398,7527.797363
396,7.049381,0.000997,0.571815,1087.905518,7530.065430
397,6.819560,0.000997,0.425481,1089.619385,7518.221680
398,7.345865,0.000997,0.587041,1086.956787,7536.638672
399,6.800128,0.000997,0.556533,1089.942627,7515.992188
400,7.004542,0.000997,0.561507,1084.075928,7556.666504
401,6.968137,0.000997,0.542687,1092.893311,7495.699219
402,6.856688,0.000997,0.625189,1093.006470,7494.923340
403,6.919874,0.000997,0.565443,1086.510864,7539.730957
404,7.387151,0.000997,0.483396,1090.102539,7514.889160
405,6.577641,0.000997,0.630341,1091.222412,7507.177246
406,6.927316,0.000997,0.550005,1079.939697,7585.608398
407,6.557783,0.000996,0.547771,1082.801514,7565.560547
408,6.477627,0.000996,0.766816,1079.212646,7590.718750
409,7.308834,0.000996,0.723859,1084.793945,7551.664551
410,6.855772,0.000996,0.745654,1090.194458,7514.255859
411,7.181303,0.000996,0.851975,1091.469849,7505.475098
412,7.438237,0.000996,0.735026,1101.387817,7437.888184
413,7.146831,0.000996,0.888086,1089.226074,7520.936035
414,7.169454,0.000996,0.588594,1095.191772,7479.968750
415,7.221629,0.000996,0.661158,1093.607300,7490.805664
416,7.011887,0.000996,0.475158,1100.622070,7443.063477
417,6.970862,0.000996,0.557900,1094.983643,7481.390137
418,6.934514,0.000996,0.523137,1085.734009,7545.125977
419,6.681668,0.000996,0.632817,1095.788452,7475.895508
420,7.308780,0.000996,0.571793,1087.005615,7536.299805
421,7.072244,0.000996,0.621660,1098.670166,7456.287109
422,7.654351,0.000996,0.680258,1088.649414,7524.920410
423,7.120472,0.000996,0.562497,1087.188721,7535.030273
424,7.604800,0.000996,0.731112,1088.015747,7529.302246
425,6.846962,0.000996,0.509124,1093.471924,7491.733398
426,6.803204,0.000996,0.802852,1090.285522,7513.627930
427,7.316184,0.000996,0.967622,1091.528931,7505.069336
428,6.644156,0.000996,0.918499,1082.193481,7569.811035
429,7.234405,0.000996,0.689575,1086.369873,7540.709961
430,7.009529,0.000996,0.742791,1082.005615,7571.125000
431,6.910125,0.000996,0.676742,1102.347290,7431.415039
432,7.139891,0.000996,0.743460,1102.263184,7431.981445
433,6.921780,0.000996,0.754867,1088.336304,7527.084961
434,7.076023,0.000996,0.602288,1088.261475,7527.602539
435,7.291902,0.000996,0.816043,1076.503540,7609.821777
436,6.981874,0.000996,0.660467,1092.323853,7499.606934
437,7.040273,0.000996,0.545513,1101.631958,7436.240234
438,6.791884,0.000996,0.533467,1088.165405,7528.267090
439,6.557867,0.000996,0.412735,1086.843750,7537.422363
440,7.331907,0.000996,0.589134,1091.289307,7506.717285
441,6.910161,0.000996,0.543766,1074.747314,7622.256836
442,6.810159,0.000996,0.521893,1088.543579,7525.652344
443,6.800920,0.000996,0.483863,1081.073242,7577.654785
444,6.860910,0.000996,0.483139,1078.924194,7592.748535
445,6.075184,0.000996,0.774870,1077.059448,7605.893555
446,6.566090,0.000996,0.591449,1093.177612,7493.750488
447,7.280252,0.000996,0.694960,1090.944824,7509.087891
448,6.854159,0.000996,0.910280,1093.736938,7489.918457
449,6.928677,0.000996,0.840451,1089.032471,7522.273926
450,7.205529,0.000996,0.653903,1098.335205,7458.561523
451,7.269484,0.000996,0.594095,1082.375122,7568.540039
452,6.860694,0.000996,0.668800,1092.335815,7499.525391
453,6.691987,0.000996,0.749548,1096.414795,7471.625000
454,6.482111,0.000996,0.609708,1092.845581,7496.027344
455,7.176077,0.000996,0.677269,1092.271240,7499.968750
456,6.848233,0.000996,0.772406,1088.352417,7526.973633
457,6.960342,0.000996,0.606979,1091.853516,7502.837891
458,6.704718,0.000996,1.419996,1092.453003,7498.720703
459,7.028523,0.000996,0.542140,1085.352417,7547.778809
460,7.498096,0.000996,0.882642,1088.459595,7526.232422
461,7.276355,0.000995,0.700833,1093.561890,7491.117188
462,6.724458,0.000995,0.693982,1090.067871,7515.128418
463,6.798799,0.000995,0.705066,1088.999756,7522.499512
464,7.059488,0.000995,0.837543,1092.325684,7499.594727
465,6.909648,0.000995,0.544018,1092.217529,7500.337402
466,7.376254,0.000995,0.884240,1091.939697,7502.246094
