step,loss,val_loss,lr,grad_norm,dt_ms,tok_per_sec
85,8.838142,-1.000000,0.000076,2.578573,2446.150380,26791.484504
86,8.875107,-1.000000,0.000077,2.499456,2443.042746,26825.564189
87,8.757275,-1.000000,0.000078,2.601963,2447.486512,26776.858495
88,8.766068,-1.000000,0.000079,2.527187,2446.575902,26786.824781
89,8.792854,-1.000000,0.000080,2.510074,2446.572605,26786.860879
90,8.679096,-1.000000,0.000081,2.559321,2445.938798,26793.802058
91,8.690458,-1.000000,0.000082,2.520197,2446.793279,26784.444997
92,8.665270,-1.000000,0.000083,2.531800,2447.793147,26773.504158
93,8.606796,-1.000000,0.000083,2.603495,2443.620680,26819.219749
94,8.538641,-1.000000,0.000084,2.595006,2444.137018,26813.554035
95,8.575878,-1.000000,0.000085,2.497171,2444.051246,26814.495035
96,8.533383,-1.000000,0.000086,2.589004,2445.203887,26801.854990
97,8.479002,-1.000000,0.000087,2.592788,2433.864182,26926.728486
98,8.463981,-1.000000,0.000088,2.479425,2442.234227,26834.444983
99,8.473011,-1.000000,0.000089,2.482321,2439.487696,26864.656914
100,8.477645,8.424514,0.000090,2.636778,6086.195186,10767.975393
101,8.418179,-1.000000,0.000091,2.641843,2443.378127,26821.882080
102,8.453040,-1.000000,0.000091,2.415023,2440.467741,26853.868584
103,8.425594,-1.000000,0.000092,2.445218,2442.748391,26828.796712
104,8.323424,-1.000000,0.000093,2.719331,2443.911148,26816.032184
105,8.304535,-1.000000,0.000094,2.685457,2443.730214,26818.017646
106,8.258139,-1.000000,0.000095,2.484148,2438.701221,26873.320699
107,8.243360,-1.000000,0.000096,2.355201,2434.497101,26919.728092
108,8.285466,-1.000000,0.000097,2.567872,2443.863266,26816.557584
109,8.239589,-1.000000,0.000098,2.760134,2444.200739,26812.854998
110,8.289548,-1.000000,0.000099,2.601724,2446.604002,26786.517126
111,8.193432,-1.000000,0.000099,2.389333,2443.648263,26818.917023
112,8.156284,-1.000000,0.000100,2.255615,2444.528178,26809.263477
113,8.023737,-1.000000,0.000101,2.584768,2445.466030,26798.981951
114,7.988884,-1.000000,0.000102,2.894660,2445.630899,26797.175333
115,8.042553,-1.000000,0.000103,2.761088,2446.821050,26784.140998
116,7.994953,-1.000000,0.000104,2.472479,2447.172996,26780.288973
117,8.038348,-1.000000,0.000105,2.189401,2443.092679,26825.015917
118,7.845984,-1.000000,0.000106,2.347197,2445.818343,26795.121636
119,7.834585,-1.000000,0.000107,2.537956,2444.406849,26810.594164
120,7.923638,-1.000000,0.000107,2.710824,2442.789697,26828.343054
121,7.922199,-1.000000,0.000108,2.536305,2444.580766,26808.686754
122,7.846298,-1.000000,0.000109,2.403602,2446.231006,26790.601476
123,7.857615,-1.000000,0.000110,2.169562,2448.843497,26762.020554
124,7.835183,-1.000000,0.000111,2.275625,2449.955492,26749.873708
125,7.811913,-1.000000,0.000112,2.573679,2467.316656,26561.649410
126,7.840612,-1.000000,0.000113,2.101714,2475.698720,26471.718659
127,7.725876,-1.000000,0.000114,2.432451,2478.115321,26445.904048
128,7.763556,-1.000000,0.000114,2.494210,2460.916069,26630.733500
129,7.735208,-1.000000,0.000115,2.458606,2494.966744,26267.283986
130,7.758273,-1.000000,0.000116,2.216082,2546.048292,25740.281599
131,7.766182,-1.000000,0.000117,1.970274,2440.103611,26857.875913
132,7.756293,-1.000000,0.000118,1.924992,2462.145890,26617.431675
133,7.763118,-1.000000,0.000119,1.999766,2470.282779,26529.756252
134,7.623010,-1.000000,0.000120,2.035726,2458.205565,26660.097485
135,7.655886,-1.000000,0.000121,2.102943,2465.419171,26582.092316
136,7.625039,-1.000000,0.000122,2.067693,2448.810895,26762.376847
137,7.668132,-1.000000,0.000122,2.033898,2454.702704,26698.141446
138,7.530307,-1.000000,0.000123,1.984441,2453.230562,26714.162548
139,7.545691,-1.000000,0.000124,1.883386,2459.836040,26642.426135
140,7.544541,-1.000000,0.000125,1.854491,2460.191182,26638.580156
141,7.515317,-1.000000,0.000126,1.820457,2457.483933,26667.926134
142,7.469561,-1.000000,0.000127,1.861581,2455.233940,26692.364802
143,7.459196,-1.000000,0.000128,1.911175,2458.172329,26660.457945
144,7.547854,-1.000000,0.000129,1.832574,2448.654730,26764.083640
145,7.416089,-1.000000,0.000130,1.793668,2448.324105,26767.697898
146,7.630208,-1.000000,0.000130,1.681991,2449.054174,26759.718383
147,7.462986,-1.000000,0.000131,1.603328,2450.874270,26739.845778
148,7.405463,-1.000000,0.000132,1.988499,2451.147691,26736.862997
149,7.563548,-1.000000,0.000133,2.171875,2450.531688,26743.583983
150,8.002405,-1.000000,0.000134,1.998921,2454.455542,26700.829931
151,8.075633,-1.000000,0.000135,1.782708,2462.083089,26618.110612
152,7.464229,-1.000000,0.000136,1.345044,2462.826502,26610.075840
153,7.328149,-1.000000,0.000137,2.104789,2451.857507,26729.122640
154,7.393947,-1.000000,0.000138,2.308349,2470.398986,26528.508298
155,8.918511,-1.000000,0.000138,2.127349,2464.381360,26593.286682
156,8.153183,-1.000000,0.000139,2.259797,2465.932350,26576.560383
157,7.310255,-1.000000,0.000140,1.720408,2462.520191,26613.385847
158,7.315295,-1.000000,0.000141,1.796266,2457.080994,26672.299432
159,7.265498,-1.000000,0.000142,1.831802,2456.766409,26675.714777
160,7.278233,-1.000000,0.000143,1.917318,2451.888831,26728.781163
161,7.321243,-1.000000,0.000144,1.833515,2456.464509,26678.993228
162,7.314550,-1.000000,0.000145,1.926845,2454.480219,26700.561485
163,7.322631,-1.000000,0.000146,1.716586,2453.711048,26708.931377
164,7.258311,-1.000000,0.000146,1.669793,2454.363561,26701.830585
165,7.299067,-1.000000,0.000147,1.771565,2451.238856,26735.868616
166,7.229798,-1.000000,0.000148,1.946307,2446.530783,26787.318784
167,7.275320,-1.000000,0.000149,1.899520,2449.824069,26751.308728
168,7.229692,-1.000000,0.000150,2.006556,2452.511796,26721.991758
169,7.371354,-1.000000,0.000151,1.876672,2450.229358,26746.883832
170,7.154798,-1.000000,0.000152,1.995318,2455.524938,26689.201558
171,7.276958,-1.000000,0.000153,2.021444,2452.896262,26717.803364
172,7.132879,-1.000000,0.000154,1.997418,2453.671275,26709.364318
173,7.209511,-1.000000,0.000154,1.950174,2452.440547,26722.768093
174,7.161728,-1.000000,0.000155,1.720075,2452.345695,26723.801678
175,7.328368,-1.000000,0.000156,1.379936,2450.981882,26738.671747
176,7.178220,-1.000000,0.000157,1.406533,2456.325174,26680.506593
177,7.132729,-1.000000,0.000158,1.662771,2457.828557,26664.186895
178,7.144874,-1.000000,0.000159,1.892914,2457.648838,26666.136751
179,7.075912,-1.000000,0.000160,1.881115,2454.427266,26701.137535
180,6.981234,-1.000000,0.000161,2.265068,2452.243494,26724.915434
181,7.394990,-1.000000,0.000162,1.386202,2450.514552,26743.770996
182,7.119633,-1.000000,0.000162,1.417320,2449.232075,26757.774679
183,7.090009,-1.000000,0.000163,1.438841,2453.240432,26714.055070
184,7.098603,-1.000000,0.000164,2.026100,2450.842389,26740.193614
185,7.065220,-1.000000,0.000165,2.340939,2450.929133,26739.247218
186,6.994149,-1.000000,0.000166,2.585521,2452.086745,26726.623817
187,7.161985,-1.000000,0.000167,2.594291,2456.156348,26682.340501
188,7.253691,-1.000000,0.000168,2.447587,2454.744344,26697.688564
189,7.444070,-1.000000,0.000169,2.105763,2450.239443,26746.773744
190,7.072026,-1.000000,0.000170,1.468084,2448.922020,26761.162448
191,6.998612,-1.000000,0.000170,1.667331,2449.703280,26752.627771
192,6.909944,-1.000000,0.000171,1.870925,2473.104593,26499.485782
193,6.929314,-1.000000,0.000172,2.031356,2483.399070,26389.637007
194,6.931888,-1.000000,0.000173,1.863542,2502.833983,26184.717183
195,7.019324,-1.000000,0.000174,2.065876,2558.673210,25613.274780
196,7.039083,-1.000000,0.000175,2.496686,2520.401839,26002.202897
197,7.034920,-1.000000,0.000176,2.354912,2510.236369,26107.501592
198,6.936630,-1.000000,0.000177,1.538227,2513.171192,26077.013857
199,6.952127,-1.000000,0.000178,1.535605,2513.772944,26070.771490
200,6.987396,7.027808,0.000178,2.699767,6182.491896,10600.256515
201,6.950927,-1.000000,0.000179,3.156226,2468.956834,26544.003969
202,6.776671,-1.000000,0.000180,3.234375,2455.383128,26690.742985
203,6.880479,-1.000000,0.000181,2.724447,2501.641459,26197.199349
204,6.854715,-1.000000,0.000182,1.817629,2464.311166,26594.044171
205,6.908877,-1.000000,0.000183,1.370531,2486.356940,26358.242835
206,6.935207,-1.000000,0.000184,2.083380,2462.278690,26615.996096
207,6.834033,-1.000000,0.000185,3.221323,2442.012351,26836.883103
208,7.068365,-1.000000,0.000186,3.108810,2440.175130,26857.088737
209,6.840219,-1.000000,0.000186,2.939729,2440.131336,26857.570752
210,6.964683,-1.000000,0.000187,2.301769,2441.914843,26837.954726
211,6.880636,-1.000000,0.000188,1.478170,2442.296043,26833.765787
212,6.852326,-1.000000,0.000189,1.480936,2443.164963,26824.222266
213,6.800797,-1.000000,0.000190,2.106777,2439.451472,26865.055834
214,6.877759,-1.000000,0.000191,2.858757,2441.540114,26842.073830
215,6.790571,-1.000000,0.000192,3.076088,2444.693938,26807.445702
216,6.861598,-1.000000,0.000193,2.647693,2444.042158,26814.594742
217,6.734224,-1.000000,0.000193,1.951072,2492.331906,26295.053176
218,6.732812,-1.000000,0.000194,1.453317,2469.344943,26539.832025
219,6.815242,-1.000000,0.000195,1.797855,2493.585052,26281.838651
220,6.847988,-1.000000,0.000196,2.199374,2543.412371,25766.958102
221,6.733485,-1.000000,0.000197,2.371722,2501.137147,26202.481571
222,6.709835,-1.000000,0.000198,2.549868,2484.614755,26376.724950
223,6.893095,-1.000000,0.000199,2.362223,2491.035358,26308.739372
224,6.777026,-1.000000,0.000200,2.213094,2443.773839,26817.538904
225,6.838475,-1.000000,0.000201,1.781211,2456.201162,26681.853675
226,6.672923,-1.000000,0.000201,2.064106,2455.774787,26686.486215
227,6.816748,-1.000000,0.000202,1.676673,2464.887609,26587.824841
228,6.752969,-1.000000,0.000203,1.556651,2465.037221,26586.211130
229,6.770465,-1.000000,0.000204,1.782173,2467.710209,26557.413330
230,6.699767,-1.000000,0.000205,2.289867,2463.995709,26597.448916
231,6.738252,-1.000000,0.000206,2.683026,2457.482496,26667.941728
232,6.721571,-1.000000,0.000207,2.548213,2463.449022,26603.351405
233,6.639301,-1.000000,0.000208,2.300159,2455.160327,26693.165118
234,6.669956,-1.000000,0.000209,2.067616,2460.027016,26640.357839
235,6.686981,-1.000000,0.000209,1.756820,2446.100545,26792.030333
236,6.749002,-1.000000,0.000210,2.184717,2452.887583,26717.897899
237,6.626618,-1.000000,0.000211,2.345573,2462.310731,26615.649753
238,6.560473,-1.000000,0.000212,2.507446,2445.109925,26802.884946
239,6.734309,-1.000000,0.000213,2.438480,2446.866794,26783.640270
240,6.698853,-1.000000,0.000214,2.208517,2444.865159,26805.568298
