step,type,loss,lr,norm,dt_ms,tok_per_sec
131,train,7.440893,1.562130e-04,0.5546,1136.82,57648.44
132,train,7.427575,1.573964e-04,0.5066,1144.90,57241.68
133,train,7.440701,1.585799e-04,0.5338,1146.29,57172.23
134,train,7.291410,1.597633e-04,0.6864,1143.61,57306.37
135,train,7.337986,1.609467e-04,0.6668,1144.83,57245.20
136,train,7.312537,1.621302e-04,0.5445,1145.78,57197.61
137,train,7.382063,1.633136e-04,0.4493,1146.62,57155.77
138,train,7.222367,1.644970e-04,0.5184,1147.77,57098.36
139,train,7.247428,1.656805e-04,0.4606,1146.33,57170.37
140,train,7.246776,1.668639e-04,0.4089,1146.60,57156.75
141,train,7.221058,1.680473e-04,0.4591,1145.44,57214.50
142,train,7.190553,1.692308e-04,0.5230,1143.89,57292.41
143,train,7.183175,1.704142e-04,0.3981,1149.61,57007.30
144,train,7.298574,1.715976e-04,0.3724,1148.46,57064.22
145,train,7.147597,1.727811e-04,0.4297,1143.14,57329.96
146,train,7.403208,1.739645e-04,0.6175,1142.47,57363.68
147,train,7.211867,1.751479e-04,0.3708,1142.09,57382.38
148,train,7.137634,1.763314e-04,0.4588,1141.14,57430.16
149,train,7.325717,1.775148e-04,0.3529,1140.08,57483.58
150,train,7.829566,1.786982e-04,0.7652,1144.01,57286.13
151,train,7.912787,1.798817e-04,0.8910,1141.35,57419.73
152,train,7.243821,1.810651e-04,0.5085,1143.54,57309.79
153,train,7.087226,1.822485e-04,0.5172,1142.40,57366.92
154,train,7.155694,1.834320e-04,0.5389,1136.99,57639.80
155,train,8.772917,1.846154e-04,4.6490,1139.71,57502.12
156,train,7.868351,1.857988e-04,2.3865,1140.42,57466.32
157,train,7.134285,1.869822e-04,4.0598,1141.38,57418.16
158,train,7.127503,1.881657e-04,3.7936,1140.14,57480.43
159,train,7.058556,1.893491e-04,0.9488,1140.59,57457.97
160,train,7.094406,1.905325e-04,1.9658,1143.41,57316.41
161,train,7.162644,1.917160e-04,1.6906,1141.77,57398.68
162,train,7.141048,1.928994e-04,1.1065,1141.59,57407.58
163,train,7.142535,1.940828e-04,1.0320,1139.90,57492.99
164,train,7.082486,1.952663e-04,1.1494,1143.34,57319.86
165,train,7.105681,1.964497e-04,0.7041,1143.23,57325.24
