step,type,loss,lr,norm,dt_ms,tok_per_sec
170,train,6.960418,2.023669e-04,0.6814,1077.66,60813.20
171,train,7.073789,2.035503e-04,0.4948,1083.68,60475.25
172,train,6.935297,2.047337e-04,0.6719,1078.78,60749.87
173,train,7.021486,2.059172e-04,0.7346,1079.11,60731.72
174,train,6.965807,2.071006e-04,0.5771,1091.01,60069.01
175,train,7.122653,2.082840e-04,0.7230,1086.03,60344.57
176,train,7.002985,2.094675e-04,0.6123,1058.53,61912.09
177,train,6.958265,2.106509e-04,0.4725,1064.63,61557.29
178,train,6.949898,2.118343e-04,0.4991,1080.43,60657.09
179,train,6.881090,2.130178e-04,0.4756,1071.09,61186.53
180,train,6.768135,2.142012e-04,0.5671,1097.30,59725.05
181,train,7.149204,2.153846e-04,0.6198,1090.66,60088.15
182,train,6.912491,2.165680e-04,0.7283,1061.50,61739.11
183,train,6.883252,2.177515e-04,0.7682,1072.58,61101.47
184,train,6.881608,2.189349e-04,0.5109,1067.35,61400.48
185,train,6.864474,2.201183e-04,0.5527,1088.58,60203.19
186,train,6.769518,2.213018e-04,0.4690,1057.06,61998.19
187,train,6.943050,2.224852e-04,0.4785,1055.48,62090.97
188,train,7.026752,2.236686e-04,0.4620,1055.09,62114.04
189,train,7.242609,2.248521e-04,1.1027,1054.41,62154.25
190,train,6.870568,2.260355e-04,0.3888,1054.98,62120.86
191,train,6.794396,2.272189e-04,0.5245,1060.09,61821.32
192,train,6.703032,2.284024e-04,0.4601,1057.85,61952.00
193,train,6.727530,2.295858e-04,0.6620,1054.62,62141.90
194,train,6.718266,2.307692e-04,0.3236,1052.07,62292.31
195,train,6.810260,2.319527e-04,0.6143,1057.15,61992.93
196,train,6.843369,2.331361e-04,0.7119,1058.25,61928.46
197,train,6.832277,2.343195e-04,0.6051,1057.71,61960.54
198,train,6.728374,2.355030e-04,0.7412,1054.84,62128.93
199,train,6.733552,2.366864e-04,0.5597,1055.78,62073.70
200,train,6.758510,2.378698e-04,0.5883,1054.09,62173.17
201,train,6.730417,2.390533e-04,0.4890,1052.79,62249.79
202,train,6.528481,2.402367e-04,0.4035,1057.92,61947.74
203,train,6.652943,2.414201e-04,0.5708,1054.75,62134.38
204,train,6.634899,2.426036e-04,0.4197,1052.44,62270.82
205,train,6.692138,2.437870e-04,0.6940,1055.89,62067.35
206,train,6.717712,2.449704e-04,0.4711,1052.46,62269.42
207,train,6.605832,2.461538e-04,0.5798,1057.45,61975.50
208,train,6.864121,2.473373e-04,0.4573,1053.62,62200.79
209,train,6.625996,2.485207e-04,0.4285,1053.73,62194.06
210,train,6.762399,2.497041e-04,0.4391,1054.49,62149.47
211,train,6.672822,2.508876e-04,0.4406,1057.59,61967.26
212,train,6.631578,2.520710e-04,0.5079,1054.59,62143.50
213,train,6.577958,2.532544e-04,0.3932,1056.70,62019.69
214,train,6.662810,2.544379e-04,0.3478,1054.35,62157.99
215,train,6.572756,2.556213e-04,0.4665,1052.40,62272.71
216,train,6.647851,2.568047e-04,0.4677,1057.53,61970.85
217,train,6.534935,2.579882e-04,0.4254,1053.05,62234.50
218,train,6.534936,2.591716e-04,0.5236,1056.38,62038.11
219,train,6.604507,2.603550e-04,0.5043,1053.34,62217.61
220,train,6.641249,2.615385e-04,0.4568,1052.58,62262.17
221,train,6.523281,2.627219e-04,0.4945,1055.37,62097.49
222,train,6.501064,2.639053e-04,0.5069,1054.47,62150.88
223,train,6.674255,2.650888e-04,0.4450,1058.26,61928.23
224,train,6.567293,2.662722e-04,0.5290,1055.21,62106.91
225,train,6.635171,2.674556e-04,0.4481,1055.75,62075.10
226,train,6.475078,2.686391e-04,0.6488,1053.96,62180.47
227,train,6.626326,2.698225e-04,0.6420,1055.97,62062.18
228,train,6.555154,2.710059e-04,0.5881,1055.71,62077.55
229,train,6.549909,2.721893e-04,0.6972,1055.09,62114.05
230,train,6.458926,2.733728e-04,0.4970,1056.01,62059.84
231,train,6.511392,2.745562e-04,0.5416,1056.42,62035.80
232,train,6.495290,2.757396e-04,0.4500,1054.79,62131.78
233,train,6.426372,2.769231e-04,0.4448,1054.59,62143.86
234,train,6.464604,2.781065e-04,0.3501,1057.98,61944.34
235,train,6.493739,2.792899e-04,0.6134,1056.72,62018.45
236,train,6.542642,2.804734e-04,0.5261,1054.21,62166.14
237,train,6.422516,2.816568e-04,0.7392,1053.66,62198.52
238,train,6.340208,2.828402e-04,0.4639,1054.19,62167.08
239,train,6.530453,2.840237e-04,0.6010,1054.59,62143.36
240,train,6.495981,2.852071e-04,0.4864,1057.43,61976.78
241,train,6.693100,2.863905e-04,0.8210,1057.42,61977.56
242,train,6.579003,2.875740e-04,0.5179,1052.39,62273.70
243,train,6.730943,2.887574e-04,1.0726,1059.66,61846.10
244,train,6.585034,2.899408e-04,0.5092,1054.83,62129.71
245,train,6.634266,2.911243e-04,0.5920,1057.28,61985.54
246,train,6.443414,2.923077e-04,0.4770,1054.96,62121.94
247,train,6.516682,2.934911e-04,0.5610,1056.97,62003.91
248,train,6.492420,2.946746e-04,0.3636,1057.11,61995.49
249,train,6.509834,2.958580e-04,0.5959,1057.22,61988.99
250,train,6.477566,2.970414e-04,0.4100,1056.79,62014.23
251,train,6.573766,2.982249e-04,0.5791,1056.65,62022.60
252,train,6.671774,2.994083e-04,0.7477,1059.80,61838.07
253,train,6.390656,3.005917e-04,0.6843,1055.97,62062.50
254,train,6.390985,3.017751e-04,0.6873,1061.97,61711.60
255,train,6.454829,3.029586e-04,0.6055,1059.51,61854.80
256,train,6.447846,3.041420e-04,0.7267,1058.31,61925.27
257,train,6.348603,3.053254e-04,0.5656,1057.51,61971.94
258,train,6.856107,3.065089e-04,0.7817,1081.74,60583.73
259,train,6.353611,3.076923e-04,0.6203,1083.23,60500.82
260,train,6.477012,3.088757e-04,0.6271,1080.64,60645.47
261,train,6.554466,3.100592e-04,0.5868,1072.29,61117.99
262,train,6.465937,3.112426e-04,0.5911,1064.34,61574.11
263,train,6.550243,3.124260e-04,0.7594,1080.93,60629.51
264,train,6.494961,3.136095e-04,0.4315,1080.26,60666.66
265,train,6.589203,3.147929e-04,0.9444,1056.57,62027.40
266,train,6.450953,3.159763e-04,0.6440,1058.43,61918.39
267,train,6.442932,3.171598e-04,0.9039,1075.27,60948.48
268,train,6.472644,3.183432e-04,0.5757,1099.16,59623.51
269,train,6.574410,3.195266e-04,0.6877,1071.48,61164.06
270,train,6.410709,3.207101e-04,0.6366,1062.48,61682.16
271,train,6.352638,3.218935e-04,0.5649,1079.50,60709.59
272,train,6.350050,3.230769e-04,0.5827,1093.15,59951.70
273,train,6.512630,3.242604e-04,0.5858,1081.16,60616.53
274,train,6.382228,3.254438e-04,0.4900,1088.90,60185.60
275,train,6.225392,3.266272e-04,0.4696,1095.39,59828.93
276,train,6.311518,3.278107e-04,0.5688,1087.13,60283.32
277,train,6.311484,3.289941e-04,0.5763,1081.75,60583.09
278,train,6.167220,3.301775e-04,0.6034,1055.45,62093.19
279,train,6.446558,3.313609e-04,0.8418,1068.07,61359.18
280,train,6.362061,3.325444e-04,0.7048,1083.08,60508.68
281,train,6.239145,3.337278e-04,0.7126,1079.70,60698.15
282,train,6.306056,3.349112e-04,0.5964,1063.76,61607.92
283,train,6.264443,3.360947e-04,0.8096,1055.94,62064.22
284,train,6.408029,3.372781e-04,0.5418,1054.47,62150.80
285,train,6.367248,3.384615e-04,0.5611,1068.63,61327.37
286,train,6.330758,3.396450e-04,0.5777,1087.51,60262.53
287,train,6.332077,3.408284e-04,0.5600,1087.02,60289.48
288,train,6.256724,3.420118e-04,0.5938,1058.01,61942.54
289,train,6.353931,3.431953e-04,0.5903,1093.76,59918.26
290,train,6.284594,3.443787e-04,0.5072,1095.15,59842.20
291,train,6.303758,3.455621e-04,0.5308,1086.67,60308.76
292,train,6.533219,3.467456e-04,0.5311,1063.60,61616.87
293,train,6.402480,3.479290e-04,0.5555,1057.86,61951.20
294,train,6.334518,3.491124e-04,0.7363,1084.62,60423.10
295,train,6.277034,3.502959e-04,0.6491,1070.94,61194.95
296,train,6.264105,3.514793e-04,0.5503,1067.98,61364.35
297,train,6.262976,3.526627e-04,0.5063,1069.14,61297.85
298,train,6.190207,3.538462e-04,0.5050,1066.47,61451.34
299,train,6.092483,3.550296e-04,0.5057,1064.18,61583.55
300,train,6.389410,3.562130e-04,0.6682,1071.18,61181.19
301,train,6.400508,3.573964e-04,0.5362,1057.91,61948.84
302,train,6.095063,3.585799e-04,0.5437,1060.72,61784.33
303,train,6.258387,3.597633e-04,0.5330,1071.90,61139.93
304,train,6.131597,3.609467e-04,0.6745,1072.83,61087.28
305,train,6.267448,3.621302e-04,0.7757,1064.93,61540.34
306,train,6.102520,3.633136e-04,0.5928,1054.67,62138.82
307,train,6.211776,3.644970e-04,0.6864,1060.95,61771.25
308,train,6.271832,3.656805e-04,0.4378,1072.96,61079.89
309,train,6.245329,3.668639e-04,0.5872,1078.50,60765.72
310,train,6.423706,3.680473e-04,0.6437,1080.80,60636.55
311,train,6.418461,3.692308e-04,0.5703,1087.20,60279.54
312,train,6.137747,3.704142e-04,0.5523,1080.16,60672.36
313,train,6.311659,3.715976e-04,0.6893,1089.29,60163.70
314,train,6.295127,3.727811e-04,0.4661,1076.84,60859.33
315,train,6.382495,3.739645e-04,0.4579,1095.00,59850.10
316,train,6.289983,3.751479e-04,0.4045,1065.03,61534.41
317,train,6.293542,3.763314e-04,0.4517,1068.12,61356.36
318,train,6.180260,3.775148e-04,0.3540,1084.12,60450.92
319,train,6.489427,3.786982e-04,0.4965,1061.39,61745.55
320,train,6.287229,3.798817e-04,0.4359,1088.28,60219.67
321,train,6.154177,3.810651e-04,0.5003,1066.03,61476.88
322,train,6.148641,3.822485e-04,0.4059,1075.09,60958.68
323,train,6.261417,3.834320e-04,0.5234,1101.26,59509.90
324,train,6.381489,3.846154e-04,0.4727,1070.60,61214.23
325,train,6.313502,3.857988e-04,0.5264,1073.74,61035.16
326,train,6.271593,3.869822e-04,0.5511,1065.53,61505.80
327,train,6.207700,3.881657e-04,0.3826,1073.60,61043.09
328,train,6.157334,3.893491e-04,0.5220,1068.69,61323.82
329,train,6.144020,3.905325e-04,0.4278,1077.95,60796.98
330,train,6.374310,3.917160e-04,0.5089,1071.71,61150.84
331,train,6.167508,3.928994e-04,0.5201,1063.59,61617.63
332,train,6.326727,3.940828e-04,0.9106,1078.83,60747.38
333,train,6.141683,3.952663e-04,0.7345,1067.82,61373.61
334,train,6.217462,3.964497e-04,0.7500,1062.92,61656.41
335,train,6.357334,3.976331e-04,1.0428,1069.58,61272.85
336,train,6.129375,3.988166e-04,0.6652,1071.17,61181.83
337,train,6.177577,4.000000e-04,0.8169,1082.56,60537.91
338,train,6.181066,4.000000e-04,0.6016,1061.03,61766.21
339,train,6.200862,3.999999e-04,0.5045,1064.81,61547.34
340,train,6.193461,3.999996e-04,0.6629,1094.36,59885.34
341,train,6.145977,3.999991e-04,0.3990,1068.14,61355.46
342,train,6.145132,3.999985e-04,0.5118,1078.11,60788.13
343,train,6.185361,3.999976e-04,0.5615,1074.34,61001.28
344,train,6.256140,3.999966e-04,0.3928,1076.96,60852.67
345,train,6.132666,3.999953e-04,0.4543,1068.71,61322.48
346,train,6.176582,3.999939e-04,0.6821,1061.32,61749.77
347,train,6.175794,3.999922e-04,0.5568,1072.64,61097.68
348,train,6.243943,3.999904e-04,0.5798,1080.29,60665.39
349,train,6.415501,3.999884e-04,0.6261,1061.09,61762.96
350,train,6.076008,3.999862e-04,1.9578,1058.32,61924.65
351,train,6.224895,3.999838e-04,1.2366,1065.33,61517.17
352,train,6.133967,3.999812e-04,0.6644,1077.14,60842.33
353,train,6.361490,3.999785e-04,0.8519,1059.54,61853.38
354,train,6.195637,3.999755e-04,0.6566,1069.29,61289.04
355,train,6.199870,3.999723e-04,0.6902,1083.27,60498.55
356,train,6.171572,3.999690e-04,0.5464,1060.15,61817.46
357,train,6.290735,3.999654e-04,0.6686,1072.78,61089.79
358,train,6.068000,3.999617e-04,0.5889,1058.27,61927.56
359,train,6.122140,3.999578e-04,0.6537,1060.16,61817.31
